year,site,observ,transect,depth,percent_cover,coral_spp,surface_area
1999,Coral City ,RG,13,10,0.280,OFAV,3770
1999,Coral City ,RG,13,10,0.280,AAGA,1257
1999,Coral City ,RG,14,10,0.250,OANN,314
1999,Coral City ,RG,14,10,0.250,MCAV,628
1999,Coral City ,RG,14,10,0.250,SSID,628
1999,Coral City ,RG,14,10,0.250,SSID,628
1999,Coral City ,RG,14,10,0.250,PSTR,628
1999,Coral City ,RG,14,10,0.250,AAGA,1885
1999,Coral City ,RG,14,10,0.250,OANN,2513
1999,Coral City ,RG,14,10,0.250,PPOR,1257
1999,Coral City ,RG,14,10,0.250,OFRA,1257
1999,Coral City ,RG,14,10,0.250,OFAV,1571
1999,Coral City ,RG,14,10,0.250,MALC,1257
1999,Coral City ,RG,14,10,0.250,OFAV,628
