Year,Site,Coral No.,OBSERV,TRANSECT,Depth (m),Coral Cover (cm),Sand Cover (cm),CORR CORAL COVER,Coral Spp.,Max   Diameter   (cm),Max Width (cm),Max Height  (cm),% old,%recent,Disease 1 ,Disease 2,Bleaching,Damsel fish,Comments,,,
1999,Coral City ,69,CK,,,,,,Sidsid,25,,10,0,0,,,,,,,,
1999,Coral City ,70,CK,,,,,,Monann,45,,48,10,0,,,,,,,,
1999,Coral City ,71,CH,8,9.8,270,0,270,Monann,50,,50,50,0,,,,,,,,
1999,Coral City ,72,CH,,,,,,Monann,45,,50,10,0,,,,,,,,
1999,Coral City ,73,CH,,,,,,Monann,90,,30,80,0,,,,,,,,
1999,Coral City ,74,CH,,,,,,Monfra,100,,130,90,0,,,,,,,,
1999,Coral City ,75,CH,,,,,,Dipstr,35,,25,0,0,,,,,,,,
1999,Coral City ,76,CH,,,,,,Diplab,30,,20,0,0,,,,,,,,
1999,Coral City ,77,CH,,,,,,Sidsid,40,,25,0,0,,,,,,,,
1999,Coral City ,78,CH,,,,,,Monann,55,,20,60,0,,,,,,,,
1999,Coral City ,79,CH,,,,,,Monfav,40,,10,30,0,,,,,,,,
1999,Coral City ,80,CH,,,,,,Moncav,30,,30,0,0,,,,,,,,
1999,Coral City ,81,CH,,,,,,Sidsid,30,,15,0,0,,,,,,,,
1999,Coral City ,82,CH,,10,,,,Monann,30,,20,50,0,,,,,,,,
1999,Coral City ,83,CH,9,9.8,210,0,210,Dipstr,80,,10,10,0,,,,,,,,
1999,Coral City ,84,CH,,,,,,Milspp,20,,40,0,0,,,,,,,,
1999,Coral City ,85,CH,,,,,,Agaaga,15,,5,0,0,,,,,,,,
1999,Coral City ,86,CH,,,,,,Monfav,60,,20,60,0,,,,,,,,
1999,Coral City ,87,CH,,,,,,Monann,40,,40,40,0,,,,,fish bites,,,
1999,Coral City ,88,CH,,,,,,Agaaga,25,,30,0,0,,,,,,,,
1999,Coral City ,89,CH,,,,,,Monann,70,,40,90,0,,,,,,,,
1999,Coral City ,90,CH,,,,,,Monfav,35,,15,0,0,,,,,,,,
1999,Coral City ,91,CH,,10,,,,Dipstr,5,,30,15,0,,,,,,,,
1999,Coral City ,92,CH,10,10,190,0,190,Agaaga,25,,30,0,0,,,,,,,,
1999,Coral City ,93,CH,,,,,,Milspp,30,,20,0,0,,,,,,,,
1999,Coral City ,94,CH,,,,,,Agaaga,20,,30,0,0,,,,,,,,
1999,Coral City ,95,CH,,,,,,Monfav,55,,30,40,0,,,,,,,,
1999,Coral City ,96,CH,,,,,,Diplab,35,,15,10,0,,,,,,,,
1999,Coral City ,97,CH,,,,,,Diplab,40,,25,0,0,,,,,,,,
1999,Coral City ,98,CH,,,,,,Monfav,65,,50,0,0,,,,,,,,
1999,Coral City ,99,CH,,,,,,Monfav,40,,30,70,0,,,,,,,,
1999,Coral City ,100,CH,,,,,,Porpor,50,,30,0,0,,,,,,,,
1999,Coral City ,101,CH,,,,,,Monann,45,,30,0,0,,,,,,,,
1999,Coral City ,102,CH,,,,,,Monfav,30,,40,0,0,,,,,,,,
1999,Coral City ,103,CH,,10.7,,,,Monann,45,,35,0,0,,,,,,,,
1999,Coral City ,104,JH,11,10.7,245,0,245,Monann,30,,35,25,0,,,,,duplicate w/CK,,,
1999,Coral City ,105,JH,,,,,,Monfav,70,,70,20,0,,,,,,,,
1999,Coral City ,106,JH,,,,,,Dipstr,40,,38,5,0,,,,,,,,
